Voice,Speaker,Processing time,Filename
tts_models/en/blizzard2013/capacitron-t2-c150_v2,(single_speaker),0.744495153427124,samples/tts_models__en__blizzard2013__capacitron-t2-c150_v2__(single_speaker).wav
tts_models/en/blizzard2013/capacitron-t2-c50,(single_speaker),0.6859509944915771,samples/tts_models__en__blizzard2013__capacitron-t2-c50__(single_speaker).wav
tts_models/en/ek1/tacotron2,(single_speaker),7.082503318786621,samples/tts_models__en__ek1__tacotron2__(single_speaker).wav
tts_models/en/jenny/jenny,(single_speaker),1.3020710945129395,samples/tts_models__en__jenny__jenny__(single_speaker).wav
tts_models/en/ljspeech/fast_pitch,(single_speaker),0.9071991443634033,samples/tts_models__en__ljspeech__fast_pitch__(single_speaker).wav
tts_models/en/ljspeech/glow-tts,(single_speaker),1.1975557804107666,samples/tts_models__en__ljspeech__glow-tts__(single_speaker).wav
tts_models/en/ljspeech/neural_hmm,(single_speaker),0.8290472030639648,samples/tts_models__en__ljspeech__neural_hmm__(single_speaker).wav
tts_models/en/ljspeech/overflow,(single_speaker),1.3117406368255615,samples/tts_models__en__ljspeech__overflow__(single_speaker).wav
tts_models/en/ljspeech/speedy-speech,(single_speaker),0.9098179340362549,samples/tts_models__en__ljspeech__speedy-speech__(single_speaker).wav
tts_models/en/ljspeech/tacotron2-DCA,(single_speaker),0.9613661766052246,samples/tts_models__en__ljspeech__tacotron2-DCA__(single_speaker).wav
tts_models/en/ljspeech/tacotron2-DDC,(single_speaker),1.9070565700531006,samples/tts_models__en__ljspeech__tacotron2-DDC__(single_speaker).wav
tts_models/en/ljspeech/tacotron2-DDC_ph,(single_speaker),1.2291114330291748,samples/tts_models__en__ljspeech__tacotron2-DDC_ph__(single_speaker).wav
tts_models/en/ljspeech/vits,(single_speaker),1.0075154304504395,samples/tts_models__en__ljspeech__vits__(single_speaker).wav
tts_models/en/ljspeech/vits--neon,(single_speaker),1.0032811164855957,samples/tts_models__en__ljspeech__vits--neon__(single_speaker).wav
tts_models/en/multi-dataset/tortoise-v2,(single_speaker),165.43853902816772,samples/tts_models__en__multi-dataset__tortoise-v2__(single_speaker).wav
tts_models/en/sam/tacotron-DDC,(single_speaker),0.6967663764953613,samples/tts_models__en__sam__tacotron-DDC__(single_speaker).wav
tts_models/en/vctk/fast_pitch,VCTK_p225,3.528123140335083,samples/tts_models__en__vctk__fast_pitch__VCTK_p225.wav
tts_models/en/vctk/fast_pitch,VCTK_p226,3.6680948734283447,samples/tts_models__en__vctk__fast_pitch__VCTK_p226.wav
tts_models/en/vctk/fast_pitch,VCTK_p227,3.746263265609741,samples/tts_models__en__vctk__fast_pitch__VCTK_p227.wav
tts_models/en/vctk/fast_pitch,VCTK_p228,3.7254295349121094,samples/tts_models__en__vctk__fast_pitch__VCTK_p228.wav
tts_models/en/vctk/fast_pitch,VCTK_p229,3.5472772121429443,samples/tts_models__en__vctk__fast_pitch__VCTK_p229.wav
tts_models/en/vctk/fast_pitch,VCTK_p230,3.875761032104492,samples/tts_models__en__vctk__fast_pitch__VCTK_p230.wav
tts_models/en/vctk/fast_pitch,VCTK_p231,3.3351855278015137,samples/tts_models__en__vctk__fast_pitch__VCTK_p231.wav
tts_models/en/vctk/fast_pitch,VCTK_p232,3.2753217220306396,samples/tts_models__en__vctk__fast_pitch__VCTK_p232.wav
tts_models/en/vctk/fast_pitch,VCTK_p233,3.510361909866333,samples/tts_models__en__vctk__fast_pitch__VCTK_p233.wav
tts_models/en/vctk/fast_pitch,VCTK_p234,3.4822235107421875,samples/tts_models__en__vctk__fast_pitch__VCTK_p234.wav
tts_models/en/vctk/fast_pitch,VCTK_p236,3.408914089202881,samples/tts_models__en__vctk__fast_pitch__VCTK_p236.wav
tts_models/en/vctk/fast_pitch,VCTK_p237,3.361097812652588,samples/tts_models__en__vctk__fast_pitch__VCTK_p237.wav
tts_models/en/vctk/fast_pitch,VCTK_p238,3.7400689125061035,samples/tts_models__en__vctk__fast_pitch__VCTK_p238.wav
tts_models/en/vctk/fast_pitch,VCTK_p239,3.174767017364502,samples/tts_models__en__vctk__fast_pitch__VCTK_p239.wav
tts_models/en/vctk/fast_pitch,VCTK_p240,3.607365131378174,samples/tts_models__en__vctk__fast_pitch__VCTK_p240.wav
tts_models/en/vctk/fast_pitch,VCTK_p241,3.4775333404541016,samples/tts_models__en__vctk__fast_pitch__VCTK_p241.wav
tts_models/en/vctk/fast_pitch,VCTK_p243,3.4282777309417725,samples/tts_models__en__vctk__fast_pitch__VCTK_p243.wav
